year,month,monthly_total_precipitation_mm_manual,monthly_average_wind_speed,monthly_maximum_precipitation_mm_manual,minimum_temperature_c,maximum_temperature_c,average_temperature_c,maximum_actual_pressure_hpa,monthly_total_precipitation_mm,minimum_actual_pressure_hpa,maximum_precipitation_mm,maximum_wind_direction_and_speed,average_actual_pressure_hpa
2022,1,19.0,1.3,9.2,-7.3,19.0,3.8,1028.5,19.4,994.7,9.2,N   10.8,1013.2
2022,2,88.4,1.3,27.4,-1.8,18.2,6.4,1026.1,87.6,997.5,27.4,NNW 11.8,1011.6
2022,3,9.0,1.5,6.8,-4.8,23.2,5.7,1033.6,9.0,1001.2,6.8,N   11.3,1017.1
2022,4,48.4,1.6,34.2,2.8,27.3,14.2,1017.3,44.6,990.7,34.2,SE  14.9,1006.5
2022,5,35.9,1.0,11.4,5.2,32.8,19.3,1021.9,28.6,998.5,11.4,N   10.3,1011.3
2022,6,36.8,1.2,14.8,13.2,35.4,24.1,1014.3,36.4,1000.0,14.8,NNW 8.2,1007.5
2022,7,2.0,1.3,2.0,15.7,38.3,27.0,1016.5,2.0,1001.7,2.0,N   9.3,1008.7
2022,8,76.2,1.1,36.0,18.9,37.5,27.2,1009.7,76.2,998.4,36.0,NW  9.8,1004.9
2022,9,42.5,1.1,38.0,6.7,34.8,21.3,1017.4,41.4,996.0,38.0,W   9.8,1008.0
2022,10,5.8,1.0,2.2,3.8,33.7,16.5,1026.8,4.4,1003.0,2.2,WNW 9.8,1016.4
